dir,x_pos,y_pos,prediction
../random_crop/r_crop_test/random_crop_new/MariusBauer,76,20,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,88,68,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,16,80,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,116,168,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,156,92,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,56,156,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,32,112,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,64,0,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,136,12,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,12,164,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,144,164,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,64,12,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,112,0,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,100,104,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,16,132,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,0,64,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,176,20,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,92,92,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,0,8,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,168,52,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,140,160,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,100,96,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,176,92,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,64,44,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,128,40,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,128,88,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,72,44,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,156,164,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,36,32,9
../random_crop/r_crop_test/random_crop_new/MariusBauer,160,176,9
