epoch,learning_rate,train,val
1,0.001,0.240677966,0.285
2,0.001,0.389830508,0.405
3,0.001,0.515254237,0.43
4,0.001,0.557627119,0.48
5,0.001,0.655932203,0.485
6,0.001,0.650847458,0.5
7,0.001,0.66779661,0.475
8,0.001,0.684745763,0.485
9,0.001,0.662711864,0.49
10,0.001,0.730508475,0.47
11,1.00E-05,0.708474576,0.48
12,1.00E-05,0.722033898,0.495
13,1.00E-05,0.727118644,0.51
14,1.00E-05,0.73559322,0.505
15,1.00E-05,0.740677966,0.5
16,1.00E-05,0.749152542,0.5
17,1.00E-05,0.738983051,0.5
18,1.00E-05,0.752542373,0.51
19,1.00E-05,0.76440678,0.51
20,1.00E-05,0.76779661,0.505
